Date,Topic,Class
9/2/2025,Supreme: Intro to Marketing,MKT
9/2/2025,On (intro session),STRAT
9/3/2025,Cialis: Brand Positioning,MKT
9/3/2025,Yanhai Aluminum: Costs,STRAT
9/3/2025,KC Zephyrs Baseball Club,FRC
9/4/2025,Mira’s Microbrewery (Part 1),FRC
9/4/2025,Erik Peterson at Biometra (Day 1),LEAD
9/5/2025,Benihana,TOM
9/5/2025,Mira’s Microbrewery (Part 2),FRC
9/5/2025,Erik Peterson at Biometra (Day 2),LEAD
9/8/2025,HubSpot: Selecting a Target Market,MKT
9/8/2025,Cola Wars: Coke vs Pepsi,STRAT
9/9/2025,Travelogo: Market Segmentation,MKT
9/9/2025,AI Wars in 2025,STRAT
9/10/2025,Donner Company,TOM
9/10/2025,Jackie Hu: Launching into Leadership,LEAD
9/11/2025,Fabritek,TOM
9/11/2025,Accounting for iPhone at Apple,FRC
9/11/2025,Managing Global Team: Sun Microsystems,LEAD
9/12/2025,Process Analytics Simulation,TOM
9/12/2025,Accounting for Revenues,FRC
9/12/2025,C&S Wholesale Grocers,LEAD
9/16/2025,Chase Sapphire: Designing New Products,MKT
9/16/2025,Walmart USA: Growth,STRAT
9/17/2025,Predicting Diffusion of New Products,MKT
9/17/2025,Royal Opera House,STRAT
9/18/2025,National Cranberry,TOM
9/19/2025,Hospital for Special Surgery,TOM
9/19/2025,Capitalizing Dev Costs (Fiat/Volkswagen),FRC
9/22/2025,Hurtigruten: Sailing into Warm Water,STRAT
9/23/2025,Gilead: Pricing a New Product,MKT
9/23/2025,Hilti: Fleet Management,STRAT
9/25/2025,Toyota,TOM
9/25/2025,Everest Simulation,LEAD
9/26/2025,Georgia State,TOM
9/26/2025,Twitter: Stock-Based Comp,FRC
9/26/2025,Everest Debrief,LEAD
9/29/2025,OOFOS: Demand Generation,MKT
9/29/2025,Ryanair: Dogfight over Europe,STRAT
9/30/2025,HBS Online: Attribution & ROI,MKT
9/30/2025,Fiber Optics Industry Growth,STRAT
10/1/2025,Costco Live Case,FRC
10/1/2025,Bayer: Radical Transformation,LEAD
10/3/2025,Tessei,TOM
10/3/2025,Signet Jewelers,FRC
10/6/2025,Glossier: DTC & Influencer Marketing,MKT
10/6/2025,Keroche: Alcoholic Drinks in Kenya,STRAT
10/7/2025,Artea: Targeting Strategies,MKT
10/7/2025,LEGO: The Crisis,STRAT
10/8/2025,Shad Process Flow (Day 1),TOM
10/9/2025,Shad Process Flow (Day 2),TOM
10/10/2025,Boston Children’s Hospital,FRC
10/10/2025,Rob Parson,LEAD
10/14/2025,Aqualisa Quartz: Go-to-Market,MKT
10/14/2025,KITEA: Democratizing Furniture,STRAT
10/15/2025,Shad Process Flow Debrief,TOM
10/16/2025,Heidi Roizen,LEAD
10/17/2025,Springfield Hospital,FRC
10/17/2025,Rosalind Fox at John Deere,LEAD
10/20/2025,Adeo Health: Practice Midterm,MKT
10/20/2025,P.F. Chang’s,STRAT
10/21/2025,HUL Product Shakti: Reaching New Markets,MKT
10/21/2025,Disney: Mouse House to Kingdom,STRAT
10/22/2025,IDEO,TOM
10/23/2025,Insilico,TOM
10/23/2025,Coinbase,FRC
10/23/2025,12 Angry Men (Day 1),LEAD
10/24/2025,Handelsbanken,FRC
10/24/2025,12 Angry Men (Day 2),LEAD
10/27/2025,Starbucks: Growth via New Customers,MKT
10/27/2025,Disney & Pixar: To Acquire?,STRAT
10/28/2025,Adobe: Journey Optimization,MKT
10/29/2025,Feedback Workshop,LEAD
10/30/2025,Foghorn Decision,TOM
10/30/2025,Nordstrom,FRC
10/31/2025,Domino’s,TOM
10/31/2025,Wells Fargo Sales Misconduct,FRC
10/31/2025,Growing Pains at Coohom,LEAD
11/3/2025,Longchamp: Brand Extensions,MKT
11/3/2025,Thinx: Breaking Barriers in FemCare,STRAT
11/4/2025,Tesla 2024: EV Lead,STRAT
11/5/2025,Drinkworks: Diversification & Pricing,MKT
11/5/2025,Americana,FRC
11/5/2025,Vodafone,LEAD
11/6/2025,Fuyao Glass,TOM
11/6/2025,Dena Almansoori,LEAD
11/7/2025,BMW: Decarbonization,FRC
11/7/2025,Dishoom,LEAD
11/10/2025,Bobobox: Market Moves,MKT
11/12/2025,Instructor’s Choice,STRAT
11/12/2025,Alibaba IPO,FRC
11/13/2025,Ron Johnson,LEAD
11/14/2025,Sian Flowers,TOM
11/14/2025,SEC vs AT&T,FRC
11/14/2025,Rakuten,LEAD
11/17/2025,Fortis Industries: Commoditization,MKT
11/18/2025,Hometown Foods: Pricing Pressures,MKT
11/18/2025,Conclusion,STRAT
11/19/2025,Market by Met Council,TOM
11/19/2025,Cynthia Carroll,LEAD
11/20/2025,Nike,TOM
11/20/2025,Molex,FRC
11/20/2025,Lisa Su at AMD,LEAD
11/21/2025,Ginkgo Bioworks vs Scorpion,FRC
11/21/2025,TBD,LEAD
11/24/2025,Othellonia: Maximizing Customer Equity,MKT
11/25/2025,Meta & Future of AI in Marketing,MKT
12/1/2025,Course Wrap,MKT
12/3/2025,Final Class,TOM
12/4/2025,Silicon Valley Bank,FRC
12/4/2025,Deborah Lovich,LEAD
12/5/2025,A Letter from Prison,FRC
12/5/2025,Kwame Owusu-Kesse,LEAD
12/8/2025,Alumni Profiles,LEAD
12/9/2025,Final Class,LEAD
9/22/2025,Butler Lumber Day 1,FIN 1
9/23/2025,Butler Lumber Day 2,FIN 1
9/24/2025,Mighty Squirrel,FIN 1
9/29/2025,Project Helios,FIN 1
9/30/2025,Patrimonio Hoy,FIN 1
10/1/2025,Ocean Carriers,FIN 1
10/6/2025,Progyny,FIN 1
10/7/2025,Hamilton,FIN 1
10/14/2025,Selling for a Song,FIN 1
10/15/2025,Tottenham,FIN 1
10/21/2025,Test 1,FIN 1
10/27/2025,Cook County Day 1,FIN 1
10/28/2025,Partners Day 1,FIN 1
10/29/2025,Partners Day 2,FIN 1
11/3/2025,Optimalen Day 1,FIN 1
11/4/2025,Optimalen Day 2,FIN 1
11/10/2025,DraftKings Day 1,FIN 1
11/12/2025,DraftKings Day 2,FIN 1
11/17/2025,MGH and the Enbrel Royalty,FIN 1
11/18/2025,Test 2,FIN 1
11/24/2025,All-American Pipeline,FIN 1
11/25/2025,Dicerna,FIN 1
12/1/2025,Impact Developers Fund,FIN 1
12/2/2025,Kerr McGee Day 1,FIN 1
12/3/2025,Kerr McGee Day 2,FIN 1
12/8/2025,Peloton,FIN 1
12/9/2025,Final Review,FIN 1
12/15/2025,Final Exam Guidelines,FIN 1
